score,lead_bucket,company_or_product,username,segment,reason_codes,atlas_pitch_angle,recommended_outreach,source_url
58.0,Watchlist,Nevina infotech Pvt. Ltd.,nevina_infotech,AI video generator app,AI_VIDEO_GENERATOR_APP;COMPETITOR_PAIN,Better pricing at scale,Mention their cost concern around Runway. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/nevina_infotech/status/1772994429223104996
57.0,Watchlist,Benjamin Griffin,BGriffinCreator,AI video generator app,AI_VIDEO_GENERATOR_APP;COMPETITOR_PAIN;MODEL_COVERAGE_NEED,Creator platform / app infra layer,Reference their creator app workflow around Veo. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/BGriffinCreator/status/1925678466181070980
57.0,Watchlist,Juro Osawa,JuroOsawa,AI video generator app,AI_VIDEO_GENERATOR_APP;COMPETITOR_PAIN;MODEL_COVERAGE_NEED,One API for all SOTA media models,"Point to their comparison of Kling, Hailuo, Vidu. Offer Atlas as one API for routing across leading image and video models.",https://x.com/JuroOsawa/status/1849733188631106007
54.0,Distribution / Weak Lead,David Boros,DavidBoros19,AI video generator app,AI_VIDEO_GENERATOR_APP,Better pricing at scale,Mention their cost concern around cost pain. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/DavidBoros19/status/1948324860997902760
53.0,Distribution / Weak Lead,SparkDecoded,sparkdecoded,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Better pricing at scale,Mention their cost concern around cost pain. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/sparkdecoded/status/1973648549436076255
51.0,Distribution / Weak Lead,Dami,BookOfDami,AI video generator app,AI_VIDEO_GENERATOR_APP,Creator platform / app infra layer,Reference their creator app workflow around ai video generator app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/BookOfDami/status/1783890160972607648
42.0,Distribution / Weak Lead,Delight,De_Light00001,AI-native creator platform,HIGGSFIELD_LIKE_PLATFORM,Creator platform / app infra layer,Reference their creator app workflow around ai-native creator platform. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/De_Light00001/status/2005537238550040695
41.0,Distribution / Weak Lead,💕krishna deewani priyanka😍🥰,priyanka151179,AI video generator app,AI_VIDEO_GENERATOR_APP,Creator platform / app infra layer,Reference their creator app workflow around ai video generator app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/priyanka151179/status/2048051851724222861
41.0,Distribution / Weak Lead,🚩,stephenxfcb,AI video generator app,AI_VIDEO_GENERATOR_APP,Creator platform / app infra layer,Reference their creator app workflow around ai video generator app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/stephenxfcb/status/1952594650461794600
41.0,Distribution / Weak Lead,Orey Aajamuuuuu,lagettharoii,AI video generator app,AI_VIDEO_GENERATOR_APP,Creator platform / app infra layer,Reference their creator app workflow around ai video generator app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/lagettharoii/status/1935740839491518700
41.0,Distribution / Weak Lead,陈东成,fncischen,AI video generator app,AI_VIDEO_GENERATOR_APP,Creator platform / app infra layer,Reference their creator app workflow around ai video generator app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/fncischen/status/1934152903897543025
40.0,Distribution / Weak Lead,iOS Hacker,iOSHacker1,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Creator platform / app infra layer,Reference their creator app workflow around ios/mobile ai media app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/iOSHacker1/status/2046985225922859332
40.0,Distribution / Weak Lead,DWN_Daniel,DSailsbury4544,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Creator platform / app infra layer,Reference their creator app workflow around ios/mobile ai media app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/DSailsbury4544/status/1735116070028226855
40.0,Distribution / Weak Lead,Harlpert,halpert28148,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Creator platform / app infra layer,Reference their creator app workflow around ios/mobile ai media app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/halpert28148/status/1731851445186531545
40.0,Distribution / Weak Lead,TIL_Kevin,KevinMalon92883,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Creator platform / app infra layer,Reference their creator app workflow around ios/mobile ai media app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/KevinMalon92883/status/1731491111368298553
40.0,Distribution / Weak Lead,Dwight👩🏽‍🦼,DwightShru99635,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Creator platform / app infra layer,Reference their creator app workflow around ios/mobile ai media app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/DwightShru99635/status/1730454120912593313
40.0,Distribution / Weak Lead,Roscente,Roscente197266,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Creator platform / app infra layer,Reference their creator app workflow around ios/mobile ai media app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/Roscente197266/status/1729806484739940814
40.0,Distribution / Weak Lead,DWN_Daniel,DSailsbury4544,iOS/mobile AI media app,IOS_AI_MEDIA_APP,Creator platform / app infra layer,Reference their creator app workflow around ios/mobile ai media app. Position Atlas as the media generation infrastructure layer behind the product.,https://x.com/DSailsbury4544/status/1729800037163532673
