score,lead_bucket,company_or_product,username,segment,reason_codes,atlas_pitch_angle,recommended_outreach,source_url
90.0,Top Revenue Lead,VidStack Pro,vidstackpro,AI video generator app,VIDEO_GEN_SCALE;AI_VIDEO_GENERATOR_APP;FAL_PRICING_PAIN;COMPETITOR_PAIN;RELIABILITY_PAIN;QUEUE_LATENCY_PAIN;PRODUCTION_WORKLOAD,Better pricing at scale,Mention their cost concern around fal.ai. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/vidstackpro/status/1784100020
89.0,Top Revenue Lead,MiniVids AI,minividsai,iOS/mobile AI media app,VIDEO_GEN_SCALE;IOS_AI_MEDIA_APP;FAL_PRICING_PAIN;COMPETITOR_PAIN;QUEUE_LATENCY_PAIN;PRODUCTION_WORKLOAD,Better pricing at scale,Mention their cost concern around fal.ai. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/minividsai/status/1784100007
83.0,Strong Lead,SparkLoop Ads,sparkloopads,iOS/mobile AI media app,IOS_AI_MEDIA_APP;FAL_PRICING_PAIN;COMPETITOR_PAIN;PRODUCTION_WORKLOAD,Better pricing at scale,Mention their cost concern around fal.ai. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/sparkloopads/status/1784100016
82.0,Strong Lead,ReelFactory,reelfactory,AI video generator app,AI_VIDEO_GENERATOR_APP;FAL_PRICING_PAIN;COMPETITOR_PAIN;RELIABILITY_PAIN;PRODUCTION_WORKLOAD,Better pricing at scale,"Mention their cost concern around fal.ai, Replicate. Position Atlas as a way to control media generation spend at campaign or app scale.",https://x.com/reelfactory/status/1784100005
80.0,Strong Lead,PixelPilot,pixelpilotapp,iOS/mobile AI media app,IOS_AI_MEDIA_APP;FAL_PRICING_PAIN;COMPETITOR_PAIN;PRODUCTION_WORKLOAD,Better pricing at scale,Mention their cost concern around fal.ai. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/pixelpilotapp/status/1784100004
80.0,Strong Lead,AdRemix House,adremixhouse,Digital marketing agency,DIGITAL_MARKETING_AGENCY;FAL_PRICING_PAIN;COMPETITOR_PAIN;PRODUCTION_WORKLOAD,Better pricing at scale,"Mention their cost concern around fal.ai, Replicate. Position Atlas as a way to control media generation spend at campaign or app scale.",https://x.com/adremixhouse/status/1784100018
79.0,Strong Lead,POV Studio,povstudio,Short-form video producer,SHORT_FORM_VIDEO_PRODUCER;FAL_PRICING_PAIN;COMPETITOR_PAIN;RELIABILITY_PAIN;QUEUE_LATENCY_PAIN;PRODUCTION_WORKLOAD,Better pricing at scale,Mention their cost concern around fal.ai. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/povstudio/status/1784100034
78.0,Strong Lead,Mia Torres,foundermia,iOS/mobile AI media app,IOS_AI_MEDIA_APP;FAL_PRICING_PAIN;COMPETITOR_PAIN;RELIABILITY_PAIN;QUEUE_LATENCY_PAIN,Better pricing at scale,Mention their cost concern around fal.ai. Position Atlas as a way to control media generation spend at campaign or app scale.,https://x.com/foundermia/status/1784100026
77.0,Strong Lead,ModelWatch,modelwatch,AI video generator app,VIDEO_GEN_SCALE;AI_VIDEO_GENERATOR_APP;COMPETITOR_PAIN;MODEL_COVERAGE_NEED,Better pricing at scale,"Mention their cost concern around Runway, Kling, Seedance. Position Atlas as a way to control media generation spend at campaign or app scale.",https://x.com/modelwatch/status/1784100024
75.0,Strong Lead,MotionMelt,motionmelt,iOS/mobile AI media app,IOS_AI_MEDIA_APP;COMPETITOR_PAIN;RELIABILITY_PAIN;QUEUE_LATENCY_PAIN;MODEL_COVERAGE_NEED,One API for all SOTA media models,"Point to their comparison of Runway, Kling. Offer Atlas as one API for routing across leading image and video models.",https://x.com/motionmelt/status/1784100002
